[2017-08-01 10:04:42] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 04:32:28] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 04:55:25] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 04:56:20] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 04:56:36] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 04:56:41] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 04:56:45] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 04:56:48] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 04:56:51] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 04:56:53] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 05:06:44] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 05:09:10] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 05:19:50] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 05:29:51] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 05:29:58] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 05:30:11] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 05:30:23] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 05:31:27] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 05:31:36] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 05:44:53] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 05:45:17] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 06:12:40] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 06:13:05] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 06:16:42] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 06:17:58] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 06:18:26] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 06:19:47] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 06:22:58] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 06:35:46] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 06:35:52] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 06:35:56] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 06:35:59] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 06:36:01] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 06:36:04] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 06:36:06] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 06:36:08] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 06:36:11] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 06:36:13] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 06:36:15] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 06:36:17] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 06:36:19] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 06:36:21] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 06:36:26] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 06:36:28] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 06:36:31] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 06:36:33] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 06:36:35] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 06:38:41] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 07:06:11] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 07:07:04] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 07:08:53] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 07:09:03] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 07:17:40] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 07:17:59] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 07:18:05] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 07:26:56] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 07:26:56] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 07:41:13] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 07:49:40] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 07:58:19] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 09:43:22] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 09:54:14] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 11:49:24] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:28:17] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 12:28:24] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 12:28:29] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 12:28:31] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 12:28:32] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 12:28:34] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:28:36] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 12:28:37] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 12:28:39] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:28:40] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 12:28:41] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:28:43] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 12:28:44] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:28:45] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 12:28:46] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:28:48] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 12:28:49] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 12:43:03] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 12:43:08] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 12:43:10] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 12:43:12] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 12:43:14] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 12:43:15] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 12:43:17] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 12:43:26] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 13:02:06] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 13:17:17] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 13:17:21] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 13:17:23] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 13:17:25] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 13:17:26] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 13:17:27] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 13:17:28] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 13:17:30] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 13:17:31] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 13:17:32] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 13:17:34] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 13:17:35] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 13:17:37] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 13:23:21] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 14:35:16] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 15:08:49] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 17:35:56] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 17:37:40] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 17:38:13] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 18:50:51] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 00:09:52] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 02:15:07] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 03:35:30] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 03:43:28] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 03:45:02] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 03:54:57] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 03:58:18] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 04:03:09] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 04:27:21] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 04:27:55] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 04:28:29] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 04:28:47] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 04:52:40] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 04:57:51] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 05:27:32] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 06:07:40] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 06:08:48] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 06:09:16] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 06:09:23] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 06:25:54] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 06:32:04] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 07:02:19] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 08:10:59] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:11:01] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:11:03] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 08:11:04] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 08:11:05] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:11:06] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 08:11:07] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:11:08] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 08:11:10] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 08:11:11] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:11:12] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:11:13] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:11:14] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 08:11:15] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:11:16] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 08:11:17] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 08:15:08] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 08:15:12] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 08:15:13] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:14] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:15:15] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:16] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:15:17] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:18] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 08:15:19] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:15:20] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 08:15:21] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:23] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:15:23] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 08:15:25] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:15:26] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 08:15:27] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 08:15:28] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:15:29] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 08:15:30] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:31] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 08:15:32] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:33] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 08:15:34] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 08:15:35] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 08:15:36] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-03 08:15:37] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 08:15:38] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:15:39] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:15:40] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 08:15:41] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:15:42] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:15:44] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-03 08:26:14] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-03 08:35:47] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 08:36:37] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-03 08:37:45] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-03 08:47:50] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 11:23:32] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 13:36:08] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-03 14:53:52] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-03 16:03:23] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-03 16:08:58] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 02:11:55] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 03:19:33] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 03:59:47] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 04:00:01] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 04:00:06] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 04:27:38] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-04 04:39:29] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 04:52:07] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 04:52:19] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 04:52:24] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-04 04:52:26] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-04 04:53:37] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-04 05:18:40] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-04 05:18:44] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 05:18:48] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-04 05:18:53] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 05:18:57] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-04 05:19:02] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-04 05:36:53] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-04 05:36:58] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 05:37:03] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 05:37:08] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 05:37:12] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 05:37:17] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 06:12:20] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 07:32:22] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 08:25:37] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-04 08:25:54] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-04 08:26:09] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 08:26:16] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 09:01:59] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-04 09:02:02] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 09:02:03] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 09:02:05] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-04 09:02:06] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-04 09:02:09] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 09:02:11] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 09:02:12] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-04 09:02:14] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-04 09:38:11] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-04 09:51:02] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-04 09:51:15] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-04 11:41:30] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-04 15:26:31] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 15:46:13] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-04 16:23:54] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-04 16:24:12] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-04 16:36:29] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-04 18:12:13] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-05 02:01:44] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-05 03:50:36] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-05 10:47:50] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-05 10:48:06] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-05 11:52:41] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-05 13:09:09] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-05 19:11:23] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-06 04:00:21] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-06 04:08:26] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-06 06:42:54] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-06 09:20:32] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-06 11:30:33] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-06 14:54:27] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-06 21:42:22] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-07 04:05:23] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-07 06:06:58] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-07 06:41:42] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-07 06:56:02] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-07 07:01:32] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-07 07:11:50] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-07 07:14:23] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-07 07:16:34] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-07 07:16:35] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-07 07:19:08] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-07 07:37:49] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-07 07:37:59] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-07 07:38:07] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-07 07:38:12] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-07 07:38:17] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-07 07:42:23] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-07 07:42:24] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-07 07:42:24] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-07 07:42:28] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-07 07:44:38] survey.INFO: Lecture shown for survey, id 12 [] []
